,DMA,DMS,OLS,Ridge,ElasticNet,RandomForest,XGBoost,MLP
DMA,1.0,0.3686,0.0197,0.8645,0.7698,0.2068,0.0132,0.057
DMS,0.3686,1.0,0.1998,0.5285,0.6038,0.6249,0.2,0.3134
OLS,0.0197,0.1998,1.0,0.0007,0.0101,0.7199,0.5399,0.5808
Ridge,0.8645,0.5285,0.0007,1.0,0.7133,0.2549,0.0179,0.0496
ElasticNet,0.7698,0.6038,0.0101,0.7133,1.0,0.2104,0.0097,0.0831
RandomForest,0.2068,0.6249,0.7199,0.2549,0.2104,1.0,0.0645,0.9524
XGBoost,0.0132,0.2,0.5399,0.0179,0.0097,0.0645,1.0,0.3721
MLP,0.057,0.3134,0.5808,0.0496,0.0831,0.9524,0.3721,1.0
