,DMA,DMS,OLS,Ridge,ElasticNet,RandomForest,XGBoost,MLP
DMA,0.0,-0.901,-2.3496,-0.1708,-0.293,-1.2661,-2.4999,-1.9137
DMS,0.901,0.0,-1.286,0.6314,0.5198,-0.4896,-1.2855,-1.0105
OLS,2.3496,1.286,0.0,3.4511,2.595,0.3591,-0.614,0.5531
Ridge,0.1708,-0.6314,-3.4511,0.0,-0.3679,-1.1415,-2.385,-1.9745
ElasticNet,0.293,-0.5198,-2.595,0.3679,0.0,-1.2562,-2.6091,-1.7408
RandomForest,1.2661,0.4896,-0.3591,1.1415,1.2562,0.0,-1.8582,-0.0598
XGBoost,2.4999,1.2855,0.614,2.385,2.6091,1.8582,0.0,0.8945
MLP,1.9137,1.0105,-0.5531,1.9745,1.7408,0.0598,-0.8945,0.0
