,DMA,Ridge,ElasticNet,Combo
DMA,0.0,-0.1708,-0.293,0.5071
Ridge,0.1708,0.0,-0.3679,0.7599
ElasticNet,0.293,0.3679,0.0,1.0558
Combo,-0.5071,-0.7599,-1.0558,0.0
