,value
pi_max_mean (%),0.00426274666502811
pi_max_max (%),0.013691675612354508
pi_max_mean / uniform,11.17453461757129
N_eff_mean,148077.17656014528
N_eff_min,74408.29006878684
N_eff_mean_share (%),56.486960052545655
mass_top10_max (%),0.11797255070364032
switch_rate (%),46.97674418604651
top_size_mean,4.597222222222222
sd_fc_DMA,3.6271055346175496
sd_fc_DMS,4.115590854702026
DMS_abs_err_larger (%),56.018518518518526
DM_HLN_stat,-0.9009701645843132
DM_p_value,0.36861230374163845
